Título,Descripción,URL
Les voitures électriques vont être taxées pour compenser les pertes liées aux carburants,Une mesure qui était clairement prévisible à propos des voitures électriques...,https://www.presse-citron.net/taxe-voiture-electrique-carburant/
Kassettspelaren gör comeback,"Med Bluetooth och USB-C






Häromdagen skrev vi om ett par svenska hörlurar med en härlig retro-design – men vad är ett par retro-hörlurar utan en källa som har samma retrokänsla? Det fixar denna kassettspelare från We Are Rewind, som utöver kassettbands-up…",https://feber.se/pryl/kassettspelaren-gor-comeback/460372/
"2023 fue el año de la adopción institucional de bitcoin, señala Goldman Sachs","Este año el mercado de criptomonedas experimentó un crecimiento en servicios derivados regulados y autorizados centralmente.
Leer más",https://www.criptonoticias.com/comunidad/adopcion/2023-adopcion-institucional-bitcoin-goldman-sachs/
Europese Commissie onderzoekt Twitter/X op schending DSA,"De Europese Commissie start een onderzoek naar X, voormalig Twitter, vanwege vermeende schending van de Digital Services Act.",https://www.emerce.nl/nieuws/europese-commissie-onderzoekt-twitterx-schending-dsa
Hiss rasade flera våningar på byggarbetsplats,"▸ Vid en byggarbetsplats på Hisingen har en personhiss rasat flera våningar, skriver Göteborgs-Posten.",https://www.aftonbladet.se/nyheter/a/Rr77qd/aftonbladet-direkt?pinnedEntry=1197823
Elon Musk Net Worth 2024: Top Billionaire Set To Scorch The Wealth Charts,"As of Dec. 18, 2023, the net worth of Elon Musk is estimated to be $254.9 billion. And it could scale new heights in 2024.",https://www.ibtimes.com/elon-musk-net-worth-2024-top-billionaire-set-scorch-wealth-charts-3720870
Return-to-office mandates made these employees quit instead,"In a letter to employees, Grindr said it assigned each department one of five hubs and that workers should return to their department’s designated office. Despite the mass exodus, the company told The Washington Post that it plans to forge ahead with its poli…",https://biztoc.com/x/b48e090bcc84ffc1
Key Tesla rival gets $2.2 billion investment,Get Free Report shares were surging in premarket trading Monday after the electric-vehicle maker said it had received a $2.2 billion investment from the Abu Dhabi investor CYVN. Nio shares were climbing 8.5% to $8.66 at last check. The deal follows CYVN’s mor…,https://biztoc.com/x/3ead6f2018f5a504
Region Stockholm krävs på miljoner,"▸ Region Stockholms utbyggnad av tvärbanan gjordes genom otillåten upphandling, skriver Konkurrensverket.",https://www.aftonbladet.se/nyheter/a/Rr77qd/aftonbladet-direkt?pinnedEntry=1197822
Nio signs investment deal with Abu Dhabi’s CYVN Holdings,Nio signs investment deal with Abu Dhabi’s CYVN Holdings,https://www.investing.com/news/stock-market-news/nio-signs-investment-deal-with-abu-dhabis-cyvn-holdings-432SI-3259056
[Removed],[Removed],https://removed.com
